,condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph
38,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_16,1.0,Mai,2.78125,-1.78125,simple,NaN,mismatch
39,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_17,1.0,Mai,2.9375,-1.9375,simple,NaN,mismatch
40,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_26,3.0,September,2.90625,0.09375,simple,NaN,mismatch
41,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_27,7.0,Mai,3.96875,3.03125,simple,NaN,mismatch
42,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_31,1.0,September,3.5,-2.5,simple,NaN,mismatch
43,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_33,2.0,Mai,3.46875,-1.46875,simple,NaN,mismatch
44,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_35,5.0,September,4.03125,0.96875,simple,NaN,mismatch
45,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_36,5.0,September,3.53125,1.46875,simple,NaN,mismatch
46,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_40,3.0,September,4.03125,-1.03125,simple,NaN,mismatch
47,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_44,1.0,September,3.40625,-2.40625,simple,NaN,mismatch
48,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_47,1.0,September,1.8125,-0.8125,simple,NaN,mismatch
49,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_52,1.0,Mai,4.28125,-3.28125,simple,NaN,mismatch
50,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_56,2.0,Mai,4.90625,-2.90625,simple,NaN,mismatch
51,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_61,5.0,Mai,4.451612903,0.548387097,simple,NaN,mismatch
52,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_64,1.0,Mai,3.25,-2.25,simple,NaN,mismatch
53,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_66,1.0,Mai,2.875,-1.875,simple,NaN,mismatch
54,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_69,2.0,Mai,2.59375,-0.59375,simple,NaN,mismatch
55,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_78,2.0,Mai,2.28125,-0.28125,simple,NaN,mismatch
56,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_93,1.0,September,1.935483871,-0.935483871,simple,NaN,mismatch
57,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_96,4.0,Mai,2.53125,1.46875,simple,NaN,mismatch
58,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_103,1.0,Mai,1.34375,-0.34375,simple,NaN,mismatch
59,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_104,1.0,Mai,3.125,-2.125,simple,NaN,mismatch
60,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_107,4.0,Mai,2.25,1.75,simple,NaN,mismatch
61,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_114,4.0,September,2.1875,1.8125,simple,NaN,mismatch
62,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_115,1.0,September,1.75,-0.75,simple,NaN,mismatch
63,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_121,3.0,September,3.516129032,-0.5161290319999998,simple,NaN,mismatch
64,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_125,1.0,September,3.3125,-2.3125,simple,NaN,mismatch
65,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_134,4.0,September,4.15625,-0.15625,simple,NaN,mismatch
66,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_146,2.0,Mai,3.4375,-1.4375,simple,NaN,mismatch
67,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_151,7.0,Mai,4.3125,2.6875,simple,NaN,mismatch
68,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_156,3.0,September,2.03125,0.96875,simple,NaN,mismatch
69,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_159,1.0,Mai,2.0,-1.0,simple,NaN,mismatch
70,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_160,6.0,September,2.9375,3.0625,simple,NaN,mismatch
71,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_165,1.0,Mai,4.03125,-3.03125,simple,NaN,mismatch
