,condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph
561,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_39,1.0,August,3.8125,-2.8125,simple,umlaut mix,NaN
562,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_43,2.0,April,3.46875,-1.46875,simple,umlaut mix,NaN
563,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_63,2.0,April,4.28125,-2.28125,simple,umlaut mix,NaN
564,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_72,2.0,August,2.6875,-0.6875,simple,umlaut mix,NaN
565,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_73,4.0,April,4.0,0.0,simple,umlaut mix,NaN
566,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_75,5.0,August,4.59375,0.40625,simple,umlaut mix,NaN
567,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_77,6.0,April,5.40625,0.59375,simple,umlaut mix,NaN
568,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_81,1.0,April,3.3125,-2.3125,simple,umlaut mix,NaN
569,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_82,1.0,August,2.6875,-1.6875,simple,umlaut mix,NaN
570,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_99,3.0,August,2.96875,0.03125,simple,umlaut mix,NaN
571,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_113,5.0,August,5.0625,-0.0625,simple,umlaut mix,NaN
572,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_129,2.0,August,3.21875,-1.21875,simple,umlaut mix,NaN
573,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_131,6.0,April,4.1875,1.8125,simple,umlaut mix,NaN
574,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_140,4.0,August,4.25,-0.25,simple,umlaut mix,NaN
575,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_171,4.0,April,3.0625,0.9375,simple,umlaut mix,NaN
576,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_172,2.0,April,4.0,-2.0,simple,umlaut mix,NaN
577,Mix 3.2,NaN,umlaut first,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,participant_173,1.0,April,3.5,-2.5,simple,umlaut mix,NaN
578,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_8,2.0,April,2.875,-0.875,simple,umlaut mix,NaN
579,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_24,4.0,August,3.4375,0.5625,simple,umlaut mix,NaN
580,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_29,3.0,August,2.0625,0.9375,simple,umlaut mix,NaN
581,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_38,6.0,August,4.65625,1.34375,simple,umlaut mix,NaN
582,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_39,7.0,August,3.8125,3.1875,simple,umlaut mix,NaN
583,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_43,6.0,April,3.46875,2.53125,simple,umlaut mix,NaN
584,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_63,3.0,April,4.28125,-1.28125,simple,umlaut mix,NaN
585,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_72,2.0,August,2.6875,-0.6875,simple,umlaut mix,NaN
586,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_73,4.0,April,4.0,0.0,simple,umlaut mix,NaN
587,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_75,7.0,August,4.59375,2.40625,simple,umlaut mix,NaN
588,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_77,5.0,April,5.40625,-0.40625,simple,umlaut mix,NaN
589,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_81,7.0,April,3.3125,3.6875,simple,umlaut mix,NaN
590,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_82,5.0,August,2.6875,2.3125,simple,umlaut mix,NaN
591,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_99,5.0,August,2.96875,2.03125,simple,umlaut mix,NaN
592,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_113,4.0,August,5.0625,-1.0625,simple,umlaut mix,NaN
593,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_129,7.0,August,3.21875,3.78125,simple,umlaut mix,NaN
594,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_131,6.0,April,4.1875,1.8125,simple,umlaut mix,NaN
595,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_140,4.0,August,4.25,-0.25,simple,umlaut mix,NaN
596,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_171,2.0,April,3.0625,-1.0625,simple,umlaut mix,NaN
597,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_172,5.0,April,4.0,1.0,simple,umlaut mix,NaN
598,Mix 3'.3,NaN,umlaut second,Bischöfe bestimmten die welt- und göttliche Ordnung.,participant_173,5.0,April,3.5,1.5,simple,umlaut mix,NaN
599,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_10,5.0,Januar,3.15625,1.84375,simple,umlaut mix,NaN
600,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_19,5.0,Januar,2.78125,2.21875,simple,umlaut mix,NaN
601,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_45,2.0,Januar,4.59375,-2.59375,simple,umlaut mix,NaN
602,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_71,5.0,Januar,2.6875,2.3125,simple,umlaut mix,NaN
603,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_76,5.0,Januar,2.75,2.25,simple,umlaut mix,NaN
604,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_80,6.0,Januar,2.9375,3.0625,simple,umlaut mix,NaN
605,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_100,1.0,Januar,1.625,-0.625,simple,umlaut mix,NaN
606,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_111,7.0,Januar,2.03125,4.96875,simple,umlaut mix,NaN
607,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_118,7.0,Januar,3.28125,3.71875,simple,umlaut mix,NaN
608,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_119,7.0,Januar,4.0625,2.9375,simple,umlaut mix,NaN
609,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_144,2.0,Januar,4.3125,-2.3125,simple,umlaut mix,NaN
610,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_150,7.0,Januar,4.875,2.125,simple,umlaut mix,NaN
611,Mix 3.5,NaN,umlaut first,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,participant_163,6.0,Januar,3.03125,2.96875,simple,umlaut mix,NaN
612,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_10,3.0,Januar,3.15625,-0.15625,simple,umlaut mix,NaN
613,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_19,2.0,Januar,2.78125,-0.78125,simple,umlaut mix,NaN
614,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_45,5.0,Januar,4.59375,0.40625,simple,umlaut mix,NaN
615,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_71,2.0,Januar,2.6875,-0.6875,simple,umlaut mix,NaN
616,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_76,2.0,Januar,2.75,-0.75,simple,umlaut mix,NaN
617,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_80,3.0,Januar,2.9375,0.0625,simple,umlaut mix,NaN
618,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_100,1.0,Januar,1.625,-0.625,simple,umlaut mix,NaN
619,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_111,1.0,Januar,2.03125,-1.03125,simple,umlaut mix,NaN
620,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_118,4.0,Januar,3.28125,0.71875,simple,umlaut mix,NaN
621,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_119,5.0,Januar,4.0625,0.9375,simple,umlaut mix,NaN
622,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_144,3.0,Januar,4.3125,-1.3125,simple,umlaut mix,NaN
623,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_150,7.0,Januar,4.875,2.125,simple,umlaut mix,NaN
624,Mix 3'.6,NaN,umlaut second,Sie treffen sich heim- und täglich.,participant_163,1.0,Januar,3.03125,-2.03125,simple,umlaut mix,NaN
625,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_12,7.0,Dezember,3.875,3.125,simple,umlaut mix,NaN
626,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_23,2.0,Dezember,3.09375,-1.09375,simple,umlaut mix,NaN
627,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_28,2.0,Dezember,2.78125,-0.78125,simple,umlaut mix,NaN
628,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_53,2.0,Dezember,2.71875,-0.71875,simple,umlaut mix,NaN
629,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_55,3.0,Dezember,3.4375,-0.4375,simple,umlaut mix,NaN
630,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_59,2.0,Dezember,2.59375,-0.59375,simple,umlaut mix,NaN
631,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_68,2.0,Dezember,3.5,-1.5,simple,umlaut mix,NaN
632,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_89,1.0,Dezember,2.46875,-1.46875,simple,umlaut mix,NaN
633,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_108,1.0,Dezember,2.78125,-1.78125,simple,umlaut mix,NaN
634,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_112,1.0,Dezember,3.375,-2.375,simple,umlaut mix,NaN
635,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_120,1.0,Dezember,1.53125,-0.53125,simple,umlaut mix,NaN
636,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_127,7.0,Dezember,4.733333333,2.266666667,simple,umlaut mix,NaN
637,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_130,1.0,Dezember,2.28125,-1.28125,simple,umlaut mix,NaN
638,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_154,2.0,Dezember,2.8125,-0.8125,simple,umlaut mix,NaN
639,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_161,2.0,Dezember,2.125,-0.125,simple,umlaut mix,NaN
640,Mix 3.6,NaN,umlaut first,Sie treffen sich täg- und heimlich.,participant_162,1.0,Dezember,2.78125,-1.78125,simple,umlaut mix,NaN
641,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_12,1.0,Dezember,3.875,-2.875,simple,umlaut mix,NaN
642,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_23,2.0,Dezember,3.09375,-1.09375,simple,umlaut mix,NaN
643,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_28,1.0,Dezember,2.78125,-1.78125,simple,umlaut mix,NaN
644,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_53,2.0,Dezember,2.71875,-0.71875,simple,umlaut mix,NaN
645,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_55,3.0,Dezember,3.4375,-0.4375,simple,umlaut mix,NaN
646,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_59,2.0,Dezember,2.59375,-0.59375,simple,umlaut mix,NaN
647,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_68,3.0,Dezember,3.5,-0.5,simple,umlaut mix,NaN
648,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_89,1.0,Dezember,2.46875,-1.46875,simple,umlaut mix,NaN
649,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_108,2.0,Dezember,2.78125,-0.78125,simple,umlaut mix,NaN
650,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_112,2.0,Dezember,3.375,-1.375,simple,umlaut mix,NaN
651,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_120,1.0,Dezember,1.53125,-0.53125,simple,umlaut mix,NaN
652,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_127,6.0,Dezember,4.733333333,1.266666667,simple,umlaut mix,NaN
653,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_130,1.0,Dezember,2.28125,-1.28125,simple,umlaut mix,NaN
654,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_154,2.0,Dezember,2.8125,-0.8125,simple,umlaut mix,NaN
655,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_161,2.0,Dezember,2.125,-0.125,simple,umlaut mix,NaN
656,Mix 3'.7,NaN,umlaut second,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,participant_162,1.0,Dezember,2.78125,-1.78125,simple,umlaut mix,NaN
657,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_32,1.0,November,1.75,-0.75,simple,umlaut mix,NaN
658,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_46,5.0,November,2.90625,2.09375,simple,umlaut mix,NaN
659,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_98,1.0,November,1.71875,-0.71875,simple,umlaut mix,NaN
660,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_135,1.0,November,2.0625,-1.0625,simple,umlaut mix,NaN
661,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_139,1.0,November,1.71875,-0.71875,simple,umlaut mix,NaN
662,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_152,1.0,November,3.5625,-2.5625,simple,umlaut mix,NaN
663,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_153,2.0,November,2.65625,-0.65625,simple,umlaut mix,NaN
664,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_164,1.0,November,4.34375,-3.34375,simple,umlaut mix,NaN
665,Mix 3.7,NaN,umlaut first,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,participant_170,1.0,November,1.90625,-0.90625,simple,umlaut mix,NaN
666,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_32,1.0,November,1.75,-0.75,simple,umlaut mix,NaN
667,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_46,2.0,November,2.90625,-0.90625,simple,umlaut mix,NaN
668,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_98,1.0,November,1.71875,-0.71875,simple,umlaut mix,NaN
669,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_135,1.0,November,2.0625,-1.0625,simple,umlaut mix,NaN
670,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_139,1.0,November,1.71875,-0.71875,simple,umlaut mix,NaN
671,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_152,2.0,November,3.5625,-1.5625,simple,umlaut mix,NaN
672,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_153,3.0,November,2.65625,0.34375,simple,umlaut mix,NaN
673,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_164,2.0,November,4.34375,-2.34375,simple,umlaut mix,NaN
674,Mix 3'.8,NaN,umlaut second,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,participant_170,1.0,November,1.90625,-0.90625,simple,umlaut mix,NaN
675,F,NaN,NaN,Ich habe der Prinzessin sich selbst auf den Gemälden präsentiert.,participant_1,3.0,September,2.866666667,0.13333333299999994,NaN,NaN,NaN
676,F,NaN,NaN,"Sie schreibt gerne Briefe, obwohl sie hat jetzt einen Computer.",participant_1,2.0,September,2.866666667,-0.8666666670000001,NaN,NaN,NaN
677,F,NaN,NaN,Da entschieden gegen hat der Politiker sicherlich nicht.,participant_1,1.0,September,2.866666667,-1.866666667,NaN,NaN,NaN
678,F,NaN,NaN,Das Dach wurde für gereinigt.,participant_1,1.0,September,2.866666667,-1.866666667,NaN,NaN,NaN
679,F,NaN,NaN,Die Autorin hat dem frechen und nervigen Journalisten kurzfristig abgesagt.,participant_1,7.0,September,2.866666667,4.1333333329999995,NaN,NaN,NaN
680,F,NaN,NaN,"Sie denkt, der Koch hat die Suppe versalzen.",participant_1,7.0,September,2.866666667,4.1333333329999995,NaN,NaN,NaN
681,F,NaN,NaN,Das Haus wurde unter gestrichen.,participant_2,1.0,Juni,2.633333333,-1.633333333,NaN,NaN,NaN
682,F,NaN,NaN,Die Familie hat eine teure Reise voreilig gebucht.,participant_2,6.0,Juni,2.633333333,3.366666667,NaN,NaN,NaN
683,F,NaN,NaN,"Er glaubt, die Mannschaft hat den Schiedsrichter bestochen.",participant_2,7.0,Juni,2.633333333,4.3666666670000005,NaN,NaN,NaN
684,F,NaN,NaN,"Auf der Fähre glaubt er, hat der Urlauber den Kontrolleur belogen.",participant_2,7.0,Juni,2.633333333,4.3666666670000005,NaN,NaN,NaN
685,F,NaN,NaN,"Die Familie isst gerne griechisch und türkisch, obwohl sie lebt jetzt in Italien.",participant_2,3.0,Juni,2.633333333,0.36666666700000006,NaN,NaN,NaN
686,F,NaN,NaN,Da gestimmt für hat der Wähler aber nicht.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,NaN,NaN,NaN
687,F,NaN,NaN,Auf allen Konzerten spielt die Band fehlerfrei.,participant_3,7.0,Juli,3.733333333,3.266666667,NaN,NaN,NaN
688,F,NaN,NaN,Wo hat die Feuerwehr welches Haus gelöscht?,participant_3,7.0,Juli,3.733333333,3.266666667,NaN,NaN,NaN
689,F,NaN,NaN,Du hast der Frau sich selbst als Beraterin vorgeschlagen.,participant_3,3.0,Juli,3.733333333,-0.733333333,NaN,NaN,NaN
690,F,NaN,NaN,Der Lehrer hat den Schülern es nachgetragen.,participant_3,3.0,Juli,3.733333333,-0.733333333,NaN,NaN,NaN
691,F,NaN,NaN,"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",participant_3,2.0,Juli,3.733333333,-1.733333333,NaN,NaN,NaN
692,F,NaN,NaN,Die Gruppe wurde hinter beschuldigt.,participant_3,1.0,Juli,3.733333333,-2.733333333,NaN,NaN,NaN
693,F,NaN,NaN,Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,participant_4,2.0,Februar,3.65625,-1.65625,NaN,NaN,NaN
694,F,NaN,NaN,"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",participant_4,4.0,Februar,3.65625,0.34375,NaN,NaN,NaN
695,F,NaN,NaN,Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,participant_4,2.0,Februar,3.65625,-1.65625,NaN,NaN,NaN
696,F,NaN,NaN,Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,participant_4,4.0,Februar,3.65625,0.34375,NaN,NaN,NaN
697,F,NaN,NaN,Die Suppe wurde gegen versalzen.,participant_4,1.0,Februar,3.65625,-2.65625,NaN,NaN,NaN
698,F,NaN,NaN,Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,participant_4,6.0,Februar,3.65625,2.34375,NaN,NaN,NaN
699,F,NaN,NaN,"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",participant_5,6.0,Oktober,4.0625,1.9375,NaN,NaN,NaN
700,F,NaN,NaN,Der Junge wurde vor benotet und bewertet.,participant_5,4.0,Oktober,4.0625,-0.0625,NaN,NaN,NaN
701,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_5,6.0,Oktober,4.0625,1.9375,NaN,NaN,NaN
702,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_5,5.0,Oktober,4.0625,0.9375,NaN,NaN,NaN
703,F,NaN,NaN,Wie hat die Polizei welchen Fall gelöst?,participant_5,4.0,Oktober,4.0625,-0.0625,NaN,NaN,NaN
704,F,NaN,NaN,"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",participant_5,7.0,Oktober,4.0625,2.9375,NaN,NaN,NaN
705,F,NaN,NaN,Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
706,F,NaN,NaN,"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
707,F,NaN,NaN,Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,participant_6,4.0,Februar,3.03125,0.96875,NaN,NaN,NaN
708,F,NaN,NaN,Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,participant_6,1.0,Februar,3.03125,-2.03125,NaN,NaN,NaN
709,F,NaN,NaN,Die Suppe wurde gegen versalzen.,participant_6,1.0,Februar,3.03125,-2.03125,NaN,NaN,NaN
710,F,NaN,NaN,Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
711,F,NaN,NaN,Auf allen Konzerten spielt die Band fehlerfrei.,participant_7,5.0,Juli,3.903225806,1.096774194,NaN,NaN,NaN
712,F,NaN,NaN,Wo hat die Feuerwehr welches Haus gelöscht?,participant_7,6.0,Juli,3.903225806,2.096774194,NaN,NaN,NaN
713,F,NaN,NaN,Du hast der Frau sich selbst als Beraterin vorgeschlagen.,participant_7,4.0,Juli,3.903225806,0.09677419399999998,NaN,NaN,NaN
714,F,NaN,NaN,Der Lehrer hat den Schülern es nachgetragen.,participant_7,5.0,Juli,3.903225806,1.096774194,NaN,NaN,NaN
715,F,NaN,NaN,"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",participant_7,1.0,Juli,3.903225806,-2.903225806,NaN,NaN,NaN
716,F,NaN,NaN,Die Gruppe wurde hinter beschuldigt.,participant_7,2.0,Juli,3.903225806,-1.903225806,NaN,NaN,NaN
717,F,NaN,NaN,Die Mutter hat dem Sohn es verboten.,participant_8,1.0,April,2.875,-1.875,NaN,NaN,NaN
718,F,NaN,NaN,"Der Chemiker meint er, dass den Pharmakonzern belogen hat.",participant_8,1.0,April,2.875,-1.875,NaN,NaN,NaN
719,F,NaN,NaN,Die Sitzung wurde aus vertagt.,participant_8,1.0,April,2.875,-1.875,NaN,NaN,NaN
720,F,NaN,NaN,Auf dem Markt verkaufen viele Bauern Obst und Gemüse.,participant_8,7.0,April,2.875,4.125,NaN,NaN,NaN
721,F,NaN,NaN,Was hat der Verkäufer welchem Kunden geraten?,participant_8,5.0,April,2.875,2.125,NaN,NaN,NaN
722,F,NaN,NaN,"In der Elbe glaubt sie, hat der Fischer das kleine und flinke Boot versenkt.",participant_8,3.0,April,2.875,0.125,NaN,NaN,NaN
723,F,NaN,NaN,"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",participant_9,1.0,Oktober,4.09375,-3.09375,NaN,NaN,NaN
724,F,NaN,NaN,Der Junge wurde vor benotet und bewertet.,participant_9,1.0,Oktober,4.09375,-3.09375,NaN,NaN,NaN
725,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_9,7.0,Oktober,4.09375,2.90625,NaN,NaN,NaN
726,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_9,7.0,Oktober,4.09375,2.90625,NaN,NaN,NaN
727,F,NaN,NaN,Wie hat die Polizei welchen Fall gelöst?,participant_9,6.0,Oktober,4.09375,1.90625,NaN,NaN,NaN
728,F,NaN,NaN,"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",participant_9,7.0,Oktober,4.09375,2.90625,NaN,NaN,NaN
729,F,NaN,NaN,In der Mensa essen viele Studentinnen und Studenten zu Mittag.,participant_10,5.0,Januar,3.15625,1.84375,NaN,NaN,NaN
730,F,NaN,NaN,Was hat der Reporter welchem Redakteur verkauft?,participant_10,6.0,Januar,3.15625,2.84375,NaN,NaN,NaN
731,F,NaN,NaN,Wir haben dem empfindlichen und unsympathischen Vermieter sich selbst als Mieter empfohlen.,participant_10,6.0,Januar,3.15625,2.84375,NaN,NaN,NaN
